Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Receipts and deductions from trade or business: [1],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Total Receipts,148417529,NaN,NaN,219192109,NaN,291998116,272129807,296690303,291318703,375192511,367117315,397302544,442802234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Business receipts,142505781,NaN,NaN,207731266,NaN,271108833,230027336,251608987,243248370,318342380,302733374,327428647,411457126,463956020,464951817,483417504,483164395,514827003,560999120,656158602,760617695,915844404,1141963405,1356655904,1615762245,2061764235,2278200526,2414187093,2545612266,2818861323,3280057197,3571281520,3847033858,4343871123,3562275066,3946423948,4454568856,4689702874,5068975400,5185510381,4877414510,4918666446,5459610621,5904280531,5397435883,5902136847,7016021357,8339604045
     Ordinary income from other partnerships and fiduciaries,391887,NaN,NaN,829508,NaN,1277313,1862539,1976512,3551280,4136685,4894652,4716373,3909729,4959791,6503902,6014742,5421029,7150284,9580608,9700952,12499163,20363506,22888919,24959557,32216736,34396143,37145568,32370871,38860842,48711241,74562696,87011698,102398987,94616213,87691226,94549769,98016975,122584647,127818631,145221603,139229298,146568309,161355348,177348686,175563169,206878369,291280441,368498190
     Nonqualifying dividends and interest received,2497808,NaN,NaN,4417337,NaN,11053204,16521153,15259801,15006055,16651205,20558966,21715994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Rents received,649343,NaN,NaN,914937,NaN,1179617,12211547,14715048,16435507,19112866,22011177,23096566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Royalties ,279433,NaN,NaN,410315,NaN,722627,712667,1217811,974573,1139586,1227808,1278856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Farm net profit,23349,NaN,NaN,30352,NaN,19700,1918127,1746014,1696998,1587326,1856781,1743021,6501873,2558984,2452962,2234751,2796101,2561945,2594695,2534196,2532276,2967005,3245297,2857055,3510762,2758099,3080330,2892121,3434024,3545288,4677412,4916630,4916630,7466233,6766782,5889089,8614611,10839758,9566052,11103632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"     Net gain, noncapital assets",359566,NaN,NaN,957426,NaN,1101631,1961662,1284962,1704228,2892749,2226999,3333255,2669190,5656928,2956310,3882967,2022921,2048877,3435093,3002209,3196462,4593655,4894940,6478634,6651584,7165980,6664457,6980473,7393459,10414041,13554033,15157978,15157978,17695771,13132365,21931795,21342803,28016551,24909006,26841902,28409855,29404062,42324714,49562115,44333012,61406192,75936595,74895264
     Other income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21246375,28357553,23444922,22056675,24963762,29581000,32431451,35858494,58811418,76796751,83928106,96831086,112555413,137370907,125630111,126873441,140151368,180738118,234537262,234537262,237339181,216513485,212137140,205190886,230274565,218091214,234489152,250280540,241565677,286983731,301542993,286759719,371849840,389257218,429796091
