Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
    Other liabilities,0.339794,0.420386,NaN,NaN,0.484076,NaN,0.608603,0.736891,NaN,NaN,1.094512,NaN,NaN,NaN,2.009803,NaN,1.894673,NaN,2.620253,2.662216,2.944337,3.105186,3.529611,3.97606,6.158172,7.644326,9.131317,11.698761,17.972375,21.692077,24.833616,25.365877,25.332035,26.20873,25.467057,26.524938,26.368951,28.760159,35.38075,38.487141,43.336458,49.548566,54.048975,55.530573,65.085748,81.50154,91.609026,110.67891,117.991761,161.033682,164.864705,168.140334,175.007088,150.01644,153.245816,153.803257,155.612922,160.312601,168.055592,157.424828,181.705511,211.135746,234.170181,301.537093
"Net worth, total   [ = sum(l.34:l.42) - l.43 ]",3.614898,4.074967,NaN,NaN,6.007382,NaN,7.880264,8.310563,9.759339,10.463293,12.277286,11.62991,11.720067,13.289126,14.377712,14.986003,15.273193,16.159992,17.370559,18.122221,17.40828,14.79109,13.104306,18.442766,26.136679,33.642263,40.12902,50.123683,119.705739,159.433517,180.038899,193.944989,201.880951,226.343227,248.926119,271.891262,291.993371,325.065063,379.751741,421.085712,481.618658,521.17031,546.602105,571.067882,603.930881,678.239209,765.489743,862.966638,942.978514,917.626964,913.662261,983.744081,1040.730474,1118.778763,1184.871271,1308.88055,1382.238615,1462.1885,1554.229602,1614.838318,1737.465119,1911.739879,2295.407574,2365.868262
    Capital stock,1.90675,2.333168,NaN,NaN,3.523959,NaN,4.276195,4.425561,NaN,NaN,5.898834,NaN,NaN,NaN,6.697023,NaN,7.381093,NaN,8.666085,9.239747,10.161402,9.63676,9.473357,10.402125,12.371229,13.791118,14.107758,16.662036,23.106941,28.192817,31.536301,35.094732,37.973247,42.268498,44.235721,47.060882,49.111227,51.418421,52.589889,56.495371,60.827529,64.779411,65.876016,67.804461,69.63245,72.636381,76.208076,79.149187,85.433083,87.638218,87.598217,89.882743,90.63187,94.496751,95.664451,96.731583,99.569333,103.522714,105.946492,107.45796,105.672737,106.210609,109.235165,111.154245
    Additional paid-in capital,0.182899,0.284467,NaN,NaN,0.465612,NaN,0.720772,0.783693,NaN,NaN,1.301968,NaN,NaN,NaN,2.001504,NaN,2.592954,NaN,3.614761,3.843162,4.530191,4.862499,5.736741,6.953583,9.41176,12.990677,16.186131,21.581655,28.499527,38.05237,48.220378,57.366758,68.611914,79.593542,87.640329,90.411218,99.298966,107.988909,125.608318,138.700074,166.085831,176.373453,188.137186,204.466294,225.230044,238.842169,267.163708,279.053612,318.396747,333.446232,347.803599,371.522903,371.964981,411.248514,469.825487,456.192,490.922539,554.49108,525.71148,548.498384,571.233193,579.910396,620.94658,681.860113
"    Retained Earnings, appropriated (aka Surplus Reserves) (1959-1985)",0.05137,0.070941,NaN,NaN,0.066928,NaN,0.064334,0.086987,NaN,NaN,0.210296,NaN,NaN,NaN,0.200518,NaN,0.226684,NaN,0.316496,0.393354,0.375413,0.349389,0.417158,0.659843,0.547,1.239473,1.177666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"    Retained earnings, unappropriated (1959-1985)",1.473879,1.386391,NaN,NaN,1.950883,NaN,2.818963,3.153519,NaN,NaN,5.189347,NaN,NaN,NaN,3.582977,NaN,3.801707,NaN,3.62506,3.591166,3.176082,1.91847,1.787734,7.519196,11.910979,17.341907,21.969777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"    Retained earnings, unappropriated (1986-2019)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.58459,75.873477,102.816168,111.61323,113.908215,108.505379,118.063424,131.159615,149.417844,160.217456,183.150065,220.056773,245.282852,276.665821,300.857081,322.489863,330.124061,341.420122,403.598772,461.630052,549.280983,586.516071,551.167819,535.447549,584.557316,642.978396,681.97259,692.477132,838.585325,877.75978,894.447082,1017.780083,1056.131609,1162.004122,1330.423964,1681.672859,1690.478989
"    Shareholders undistributed taxable income, previously taxed (1973-85)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.429078,2.43452,1.907205,1.687752,2.022427,1.963659,0.339139,-0.768994,-3.031949,-5.268386,-6.526161,-7.593986,-5.512407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Accumulated Adjustments Account (1983-85),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.340979,-2.112909,-5.088087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Other Adjustments Account (1983-85),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.341719,0.789941,0.472102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
