Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"       Mortgages, notes, bonds payable in one year or more",NaN,NaN,NaN,114.942633,NaN,178.044406,196.508937,236.218378,NaN,NaN,NaN,NaN,NaN,473.597425,512.127625,496.727132,490.848692,486.374218,488.79317,508.307609,544.253482,607.075733,705.768931,884.452445,988.667751,1132.180865,1286.392538,1375.077274,1389.224345,1545.671581,2226.995104,2226.995104,2555.74923,2767.081324,2737.341531,2692.942535,2559.4855,2705.801158,2717.030076,2993.283748,3221.869377,3477.198579,3844.382673,4063.880736,4135.655218,4780.251785,5252.022004,5924.892257
       Other liabilities,NaN,NaN,NaN,28.803143,NaN,48.372734,54.270061,70.421961,NaN,NaN,NaN,NaN,NaN,180.808548,213.417185,128.715928,146.547285,144.974951,169.234813,193.082501,236.85493,243.163159,334.060387,391.320476,444.318126,517.896863,622.469445,651.855431,803.492634,853.440065,1352.233911,1352.233911,1562.200795,1410.611225,1383.96962,1461.928613,1383.980355,1537.891328,1640.789556,1804.837348,1857.560452,1988.428138,2196.830961,2474.257706,2639.299613,3202.014399,3973.726434,4089.676021
       Partners' capital accounts,NaN,NaN,NaN,60.645684,NaN,108.7699,135.198813,143.650646,NaN,NaN,NaN,NaN,NaN,267.106948,355.781582,315.787891,356.502,399.131522,498.637347,633.271057,832.15968,1133.267724,1513.486056,1975.699638,2545.766494,2998.634658,3593.082308,3894.523181,4371.892684,5359.745599,7796.188572,7796.188572,9946.116885,9092.44471,9713.097224,10825.955766,11635.559587,12737.737269,14322.405258,15503.662951,16347.283814,16928.097795,19278.757487,20002.147676,21106.786729,26084.071702,31783.135515,32204.573785
Income and deductions from a trade or business: ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Total income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,498.378098,505.222543,518.994886,515.461121,551.549871,606.190516,703.82741,814.70409,1002.579987,1249.789312,1474.879256,1754.972413,2218.63987,2462.461787,2582.060669,2722.174031,3021.683261,3553.589456,3912.905087,4243.833029,4700.988521,3886.378923,4280.931741,4787.73413,5081.418395,5449.360304,5603.166669,5295.334204,5336.204494,5950.274413,6432.734325,5904.091783,6542.271248,7772.495609,9212.79359
Receipts and deductions from trade or business: [1],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Total Receipts,148.417529,NaN,NaN,219.192109,NaN,291.998116,272.129807,296.690303,291.318703,375.192511,367.117315,397.302544,442.802234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Business receipts,142.505781,NaN,NaN,207.731266,NaN,271.108833,230.027336,251.608987,243.24837,318.34238,302.733374,327.428647,411.457126,463.95602,464.951817,483.417504,483.164395,514.827003,560.99912,656.158602,760.617695,915.844404,1141.963405,1356.655904,1615.762245,2061.764235,2278.200526,2414.187093,2545.612266,2818.861323,3280.057197,3571.28152,3847.033858,4343.871123,3562.275066,3946.423948,4454.568856,4689.702874,5068.9754,5185.510381,4877.41451,4918.666446,5459.610621,5904.280531,5397.435883,5902.136847,7016.021357,8339.604045
     Ordinary income from other partnerships and fiduciaries,0.391887,NaN,NaN,0.829508,NaN,1.277313,1.862539,1.976512,3.55128,4.136685,4.894652,4.716373,3.909729,4.959791,6.503902,6.014742,5.421029,7.150284,9.580608,9.700952,12.499163,20.363506,22.888919,24.959557,32.216736,34.396143,37.145568,32.370871,38.860842,48.711241,74.562696,87.011698,102.398987,94.616213,87.691226,94.549769,98.016975,122.584647,127.818631,145.221603,139.229298,146.568309,161.355348,177.348686,175.563169,206.878369,291.280441,368.49819
     Nonqualifying dividends and interest received,2.497808,NaN,NaN,4.417337,NaN,11.053204,16.521153,15.259801,15.006055,16.651205,20.558966,21.715994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
